2.781040000000000134e+01,4.466500000000000909e+02,6.286960000000000264e+02
2.656800000000000139e+01,4.272800000000002001e+02,8.492830000000000155e+02
1.753619999999999948e+02,4.584499999999998181e+02,8.524840000000000373e+02
-1.222259999999999991e+02,3.961199999999998909e+02,8.460829999999999700e+02
2.452620000000000005e+02,3.395000000000000000e+02,1.138296900000000051e+03
-2.974110000000000014e+02,3.160000000000000000e+02,9.934610999999999876e+02
3.449019999999999868e+02,2.868899999999998727e+02,1.440577999999999975e+03
-4.599449999999999932e+02,4.101999999999998181e+02,7.525499999999999545e+02
2.832199999999999918e+01,3.955599999999999454e+02,1.076656500000000051e+03
1.335749999999999886e+02,3.855100000000002183e+02,1.306255999999999858e+03
-7.342329999999999757e+01,3.421500000000000909e+02,1.301802999999999884e+03
1.179689999999999941e+02,2.079400000000000546e+02,1.730291999999999916e+03
-7.770910000000000650e+01,1.208699999999998909e+02,1.703956999999999880e+03
5.910660000000000025e+01,3.132000000000016371e+01,2.134250000000000000e+03
-6.165050000000000097e+01,1.366799999999998363e+02,2.180079999999999927e+03
