-31.8696,655.281,2747.49,156.692,51.9861
-21.6031,447.242,2790.93,157.793,74.3018
-157.204,452.334,2771.7,143.826,73.4608
113.998,442.149,2810.15,171.568,75.1312
-187.857,294.799,2626.45,139.603,87.9917
341.012,367.765,2795.51,194.787,82.4841
-188.129,296.61,2274.08,136.408,82.8048
236.958,622.74,2657.67,185.426,53.1791
-38.1493,270.413,2860.79,156.197,93.0445
-138.726,96.7402,2918.75,146.446,110.548
29.3343,90.4288,2942.57,162.843,111.236
-178.332,-385.068,2991.88,143.002,156.703
71.2065,-384.572,3034.87,166.691,156.136
-198.141,-856.309,3159.92,142.118,197.279
96.6109,-832.358,3171.53,168.687,194.842
